year	month	day	volume	company
2018	8	29	1.1119	5010282
2018	8	29	0.2235	5010283
2018	8	29	1.3516	5010284
2018	8	29	0	5010285
2018	8	29	0.0863	5010286
2018	8	29	0.0425	5010287
2018	8	29	0	5010288
2018	8	29	4.5009	5010289
2018	8	29	2.2506	5010290
2018	8	29	2.7667	5010291
2018	8	29	0	5010292
2018	8	29	0	5010293
2018	8	29	3	5010294
2018	8	29	0.7611	6000134
2018	8	29	0.2122	6000135
2018	8	29	4	6000139
2018	8	29	0.5536	6000141
2018	8	29	0	6000157
2018	8	29	0	6000158
2018	8	29	15.4983	6000170
2018	8	29	7.5257	6000171
2018	8	29	0	6000172
2018	8	29	1.5432	6000173
2018	8	29	2.6606	6000174
2018	8	29	0.886	6000175
2018	8	29	2.6196	6000176
2018	8	29	4	6000177
2018	8	29	0	6000178
2018	8	29	3.0243	6000179
2018	8	29	0.8737	6000180
2018	8	29	1.453	6000181
2018	8	29	1.513	6000182
2018	8	29	0.8387	6000183
2018	8	29	0	6000184
2018	8	29	153.6594	8000001
2018	8	29	60	8000002
2018	8	29	3	8000003
2018	8	29	4	8000004
2018	8	29	10.5806	8000005
2018	8	29	11.6774	8000006
2018	8	29	3	8000007
2018	8	29	0.1561	8000008
2018	8	29	5.5	8000009
2018	8	29	12.9032	8000010
2018	8	29	16	8000011
2018	8	29	3.5	8000012
2018	8	29	4.5	8000013
2018	8	29	10.1001	8000014
2018	8	29	0.871	8000015
2018	8	29	120	8000016
2018	8	29	0.2	8000017
2018	8	29	1.8065	8000018
2018	8	29	135	8000019
2018	8	29	6.5	8000020
2018	8	29	64.1613	8000021
2018	8	29	0	8000022
2018	8	29	64.1613	8000023
2018	8	29	4.4	8000024
2018	8	29	2.2	8000025
2018	8	29	1.2	8000026
2018	8	29	3.6	8000027
2018	8	29	4.2	8000028
2018	8	29	2.2	8000029
2018	8	29	0.4839	8000030
2018	8	29	2	8000031
2018	8	29	14	8000032
2018	8	29	90	8000034
2018	8	29	9	8000035
2018	8	29	6	8000036
2018	8	29	4.2	8000037
2018	8	29	39	8000038
2018	8	29	23	8000039
2018	8	29	9.6774	8000040
2018	8	29	1.4355	8000041
2018	8	29	8	8000042
2018	8	29	11	8000043
2018	8	29	1.1258	8000044
2018	8	29	33	8000045
2018	8	29	7	8000046
2018	8	29	2.5645	8000047
2018	8	29	1.2	8000048
2018	8	29	0.3	8000049
2018	8	29	4.8	8000050
2018	8	29	0.9677	8000051
2018	8	29	2.5161	8000052
2018	8	29	5	8000053
2018	8	29	0	8100034
2018	8	29	2.5	8100035
2018	8	29	14	8100036
2018	8	29	7.9774	8100037
2018	8	29	12	8100038
2018	8	29	7	8200020
2018	8	29	29.19	8200021
2018	8	29	0	8200022
2018	8	29	0.871	8200023
2018	8	29	10.5	8200024
2018	8	29	0	8200025
2018	8	29	0.6452	8200026
2018	8	30	152.5161	1
2018	8	30	0	3
2018	8	30	82	4
2018	8	30	0	5
2018	8	30	31.1935	1000003
2018	8	30	0	1000004
2018	8	30	19.129	1000005
2018	8	30	4.4516	1000006
2018	8	30	0.0645	1000007
2018	8	30	0	1000010
2018	8	30	0.6774	1000011
2018	8	30	0	1000012
2018	8	30	10	1000020
2018	8	30	0.3548	1000021
2018	8	30	10.3871	1000024
2018	8	30	0.0645	1000026
2018	8	30	3.6129	1000027
2018	8	30	55	1000030
2018	8	30	232.2581	1000032
2018	8	30	0	1000033
2018	8	30	10	1000034
2018	8	30	23	1000035
2018	8	30	17.3226	1000036
2018	8	30	0.3871	1000037
2018	8	30	2.8387	1000038
2018	8	30	0	1000043
2018	8	30	0	1000044
2018	8	30	1.3226	1000045
2018	8	30	0.0968	1000048
2018	8	30	0	1000052
2018	8	30	0.6774	1000055
2018	8	30	0.0968	1000056
2018	8	30	4.9677	1000059
2018	8	30	15	1000062
2018	8	30	0.1935	1000065
2018	8	30	0.0065	1000066
2018	8	30	66	1000069
2018	8	30	0	1000070
2018	8	30	0.3871	1000072
2018	8	30	1.2903	1000073
2018	8	30	0	1000074
2018	8	30	14.5161	1000076
2018	8	30	0.3548	1000079
2018	8	30	0.0323	1000080
2018	8	30	3.0323	1000081
2018	8	30	0	1000083
2018	8	30	3.3734	1000084
2018	8	30	0	1000085
2018	8	30	0	1000086
2018	8	30	0	1000088
2018	8	30	0	1000091
2018	8	30	0	1000092
2018	8	30	30.6452	1000093
2018	8	30	0	1000094
2018	8	30	0	1000095
2018	8	30	0	1000099
2018	8	30	8.6	1000102
2018	8	30	10	1000103
2018	8	30	1.6452	1000109
2018	8	30	24.1935	1000114
2018	8	30	145	1000116
2018	8	30	0.5161	1000117
2018	8	30	12	1000118
2018	8	30	7.0968	1000119
2018	8	30	0	1000122
2018	8	30	0.0968	1000124
2018	8	30	4.1935	1000126
2018	8	30	21	1000127
2018	8	30	25	1000130
2018	8	30	7	1000131
2018	8	30	13.871	1000137
2018	8	30	35	1000140
2018	8	30	0	1000141
2018	8	30	0	1000142
2018	8	30	28	1000148
2018	8	30	0.0645	1000151
2018	8	30	17.8	1000153
2018	8	30	0	1000155
2018	8	30	0	1000157
2018	8	30	54	1000158
2018	8	30	0.0645	1000159
2018	8	30	0.0065	1000161
2018	8	30	0	1000165
2018	8	30	10	1000171
2018	8	30	0	1000174
2018	8	30	120	1000176
2018	8	30	0.0161	1000178
2018	8	30	8.9677	1000181
2018	8	30	0.5161	1000183
2018	8	30	3.129	1000184
2018	8	30	20	1000185
